correlation,lag,start_time,Template_Name,Audio_File
0.22657491,-714469,163.51609977324264,template_5,sample_audio/test_dset_2.wav
0.226132,-714472,163.51596371882087,template_5,sample_audio/test_dset_2.wav
0.22569543,-714470,163.5160544217687,template_5,sample_audio/test_dset_2.wav
0.22559433,-714475,163.5158276643991,template_5,sample_audio/test_dset_2.wav
0.22550152,-714471,163.51600907029479,template_5,sample_audio/test_dset_2.wav
0.22471726,-714473,163.51591836734693,template_5,sample_audio/test_dset_2.wav
0.22451514,-714300,163.5237641723356,template_5,sample_audio/test_dset_2.wav
0.22435774,-714301,163.5237188208617,template_5,sample_audio/test_dset_2.wav
0.22413896,-714474,163.515873015873,template_5,sample_audio/test_dset_2.wav
0.22395699,-714468,163.51614512471656,template_5,sample_audio/test_dset_2.wav
0.22309314,-714466,163.5162358276644,template_5,sample_audio/test_dset_2.wav
0.22299345,-714299,163.52380952380952,template_5,sample_audio/test_dset_2.wav
0.22273412,-714302,163.52367346938775,template_5,sample_audio/test_dset_2.wav
0.2221999,-714476,163.51578231292518,template_5,sample_audio/test_dset_2.wav
0.22179608,-714298,163.52385487528343,template_5,sample_audio/test_dset_2.wav
0.22173135,-714297,163.52390022675738,template_5,sample_audio/test_dset_2.wav
0.22172648,-714467,163.51619047619047,template_5,sample_audio/test_dset_2.wav
0.22170778,-714303,163.52362811791383,template_5,sample_audio/test_dset_2.wav
0.22166504,-714306,163.52349206349206,template_5,sample_audio/test_dset_2.wav
0.22159366,-714305,163.523537414966,template_5,sample_audio/test_dset_2.wav
0.2208194,-714304,163.52358276643992,template_5,sample_audio/test_dset_2.wav
0.21997403,-714465,163.51628117913833,template_5,sample_audio/test_dset_2.wav
0.21963842,-714307,163.52344671201814,template_5,sample_audio/test_dset_2.wav
0.21944407,-714296,163.5239455782313,template_5,sample_audio/test_dset_2.wav
0.21936612,-714477,163.51573696145124,template_5,sample_audio/test_dset_2.wav
0.21935415,-714478,163.51569160997732,template_5,sample_audio/test_dset_2.wav
0.21814461,-714308,163.52340136054423,template_5,sample_audio/test_dset_2.wav
0.2176397,-714309,163.52335600907028,template_5,sample_audio/test_dset_2.wav
0.21728055,-714479,163.5156462585034,template_5,sample_audio/test_dset_2.wav
0.21715567,-714310,163.52331065759637,template_5,sample_audio/test_dset_2.wav
0.21518333,-714464,163.51632653061225,template_5,sample_audio/test_dset_2.wav
0.21517803,-714642,163.50825396825397,template_5,sample_audio/test_dset_2.wav
0.21511288,-714295,163.5239909297052,template_5,sample_audio/test_dset_2.wav
0.21320622,-714480,163.51560090702947,template_5,sample_audio/test_dset_2.wav
0.21280387,-714463,163.51637188208616,template_5,sample_audio/test_dset_2.wav
0.21279971,-714638,163.50843537414966,template_5,sample_audio/test_dset_2.wav
0.21275765,-714294,163.52403628117915,template_5,sample_audio/test_dset_2.wav
0.21265665,-714641,163.50829931972788,template_5,sample_audio/test_dset_2.wav
0.21198858,-714481,163.51555555555555,template_5,sample_audio/test_dset_2.wav
0.2117546,-714311,163.52326530612245,template_5,sample_audio/test_dset_2.wav
0.21174864,-714639,163.50839002267574,template_5,sample_audio/test_dset_2.wav
0.21131387,-714816,163.50036281179138,template_5,sample_audio/test_dset_2.wav
0.21129808,-714462,163.51641723356008,template_5,sample_audio/test_dset_2.wav
0.21115585,-714645,163.5081179138322,template_5,sample_audio/test_dset_2.wav
0.21115293,-714819,163.5002267573696,template_5,sample_audio/test_dset_2.wav
0.21097824,-714643,163.50820861678005,template_5,sample_audio/test_dset_2.wav
0.21091883,-714293,163.52408163265306,template_5,sample_audio/test_dset_2.wav
0.21081658,-714817,163.50031746031746,template_5,sample_audio/test_dset_2.wav
0.21077263,-714818,163.50027210884355,template_5,sample_audio/test_dset_2.wav
0.21011391,-714813,163.50049886621315,template_5,sample_audio/test_dset_2.wav
0.20976949,-714646,163.50807256235828,template_5,sample_audio/test_dset_2.wav
0.2097299,-714482,163.51551020408164,template_5,sample_audio/test_dset_2.wav
0.20964868,-714820,163.5001814058957,template_5,sample_audio/test_dset_2.wav
0.20941126,-714640,163.50834467120183,template_5,sample_audio/test_dset_2.wav
0.20922916,-714815,163.50040816326532,template_5,sample_audio/test_dset_2.wav
0.20917633,-714644,163.5081632653061,template_5,sample_audio/test_dset_2.wav
0.20902842,-714814,163.50045351473923,template_5,sample_audio/test_dset_2.wav
0.20899288,-714635,163.50857142857143,template_5,sample_audio/test_dset_2.wav
0.20813559,-714812,163.50054421768706,template_5,sample_audio/test_dset_2.wav
0.20804864,-714648,163.50798185941042,template_5,sample_audio/test_dset_2.wav
0.20754543,-714649,163.5079365079365,template_5,sample_audio/test_dset_2.wav
0.20751226,-714647,163.50802721088436,template_5,sample_audio/test_dset_2.wav
0.20745577,-714637,163.50848072562357,template_5,sample_audio/test_dset_2.wav
0.20728184,-714989,163.49251700680273,template_5,sample_audio/test_dset_2.wav
0.20711522,-714821,163.50013605442177,template_5,sample_audio/test_dset_2.wav
0.20682484,-714992,163.49238095238096,template_5,sample_audio/test_dset_2.wav
0.20640354,-714292,163.52412698412698,template_5,sample_audio/test_dset_2.wav
0.20609528,-714636,163.5085260770975,template_5,sample_audio/test_dset_2.wav
0.20599623,-714461,163.51646258503402,template_5,sample_audio/test_dset_2.wav
0.20585361,-714313,163.5231746031746,template_5,sample_audio/test_dset_2.wav
0.20584482,-714312,163.52321995464854,template_5,sample_audio/test_dset_2.wav
0.20562299,-714810,163.50063492063492,template_5,sample_audio/test_dset_2.wav
0.20562206,-714822,163.50009070294786,template_5,sample_audio/test_dset_2.wav
