audio_file,aru_folder,query,clip,min_score
sample_audio/test_dset_1.wav,sample,template_4,12,168.77596
sample_audio/test_dset_3.wav,sample,template_4,3,176.2197
sample_audio/test_dset_2.wav,sample,template_4,12,208.48633
