audio_file,aru_folder,query,clip,min_score
sample_audio/test_dset_1.wav,sample,atelopus_varius_call,12,154.98608
sample_audio/test_dset_3.wav,sample,atelopus_varius_call,3,171.75581
sample_audio/test_dset_2.wav,sample,atelopus_varius_call,12,199.82785
